"year","month","day","tag","answercount","commentcount","questioncount","upvotes","downvotes","offensivevotes"
2014,12,8,ruby,6,13,3,3,0,0
2014,12,8,ruby-on-rails,6,13,3,3,0,0
2014,12,8,vim,3,0,1,1,0,0
2014,12,8,windows,3,0,1,1,0,0
2014,12,9,android,0,0,0,1,0,0
2014,12,9,bash,0,1,0,0,0,0
2014,12,9,ios,0,9,0,1,0,0
2014,12,9,java,7,0,1,0,0,0
2014,12,9,os-x,0,1,0,0,0,0
2014,12,9,ruby,0,2,0,1,0,0
2014,12,9,ruby-on-rails,0,2,0,1,0,0
2014,12,9,swift,0,9,0,1,0,0
2014,12,9,unity3d,1,3,1,2,0,0
2014,12,9,vim,0,2,0,1,0,0
2014,12,9,windows,0,2,0,1,0,0
2014,12,10,java,0,0,0,0,0,0
2014,12,10,os-x,0,0,0,1,0,0
2014,12,10,python,1,0,1,2,0,0
2014,12,10,ruby,0,2,0,0,0,0
2014,12,11,c,8,4,1,7,0,0
2014,12,11,cakephp,2,3,1,0,0,0
2014,12,11,css,6,3,2,3,0,0
2014,12,11,git,5,2,1,1,0,0
2014,12,11,html5,6,3,2,3,0,0
2014,12,11,ios,3,10,2,5,0,0
2014,12,11,javascript,6,3,2,3,0,0
2014,12,11,jquery,6,3,2,3,0,0
2014,12,11,php,2,4,1,0,0,0
2014,12,11,unity3d,7,3,3,2,0,0
2014,12,11,windows,1,1,1,1,0,0
2014,12,12,android,1,1,1,2,0,0
2014,12,12,c,4,4,1,3,0,0
2014,12,12,css,0,0,0,0,0,0
2014,12,12,html5,0,0,0,0,0,0
2014,12,12,ios,0,1,0,2,0,0
2014,12,12,javascript,8,1,1,1,0,0
2014,12,12,jquery,8,1,1,1,0,0
2014,12,12,os-x,4,9,2,0,0,0
2014,12,12,python,0,1,0,0,0,0
2014,12,12,ruby,3,4,1,1,0,0
2014,12,12,ruby-on-rails,0,1,0,0,0,0
2014,12,12,unity3d,5,8,4,3,0,0
2014,12,12,visual-studio,2,3,2,1,0,0
2014,12,12,windows,0,1,0,0,0,0
2014,12,13,android,0,0,0,0,0,0
2014,12,13,css,3,0,1,1,0,0
2014,12,13,git,1,0,1,3,0,0
2014,12,13,html,3,0,1,1,0,0
2014,12,13,java,2,2,1,0,0,0
2014,12,13,maven,1,2,1,1,0,0
2014,12,13,objective-c,1,5,1,0,0,0
2014,12,13,os-x,3,2,2,3,0,0
2014,12,13,pdf,1,5,1,0,0,0
2014,12,14,bash,3,1,1,0,0,0
2014,12,14,c,2,21,1,0,0,0
2014,12,14,google-chrome,2,2,1,0,0,0
2014,12,14,python,2,21,1,0,0,0
2014,12,14,ruby,3,0,1,0,0,0
2014,12,15,android,1,2,1,2,0,0
2014,12,15,bash,0,2,0,4,0,0
2014,12,15,git,0,1,0,0,0,0
2014,12,15,google-chrome,0,0,0,0,0,0
2014,12,15,mysql,2,1,1,3,0,0
2014,12,15,os-x,0,1,0,0,0,0
2014,12,15,ruby,7,4,1,6,0,0
2014,12,16,.net,4,0,1,0,0,0
2014,12,16,android,5,12,5,6,0,0
2014,12,16,android-studio,1,2,1,1,0,0
2014,12,16,bash,1,5,1,2,0,0
2014,12,16,c,0,0,0,0,0,0
2014,12,16,c#,10,13,3,4,0,0
2014,12,16,css,7,0,2,2,0,0
2014,12,16,eclipse,5,5,3,3,0,0
2014,12,16,git,3,0,1,2,0,0
2014,12,16,github,6,11,1,3,2,0
2014,12,16,google-chrome,4,6,1,2,0,0
2014,12,16,html,4,10,1,1,0,0
2014,12,16,internet-explorer,4,1,1,1,0,0
2014,12,16,ios,4,9,3,3,0,0
2014,12,16,java,4,5,3,2,0,0
2014,12,16,javascript,22,27,10,12,0,0
2014,12,16,jquery,3,3,1,3,0,0
2014,12,16,linux,0,0,0,0,0,0
2014,12,16,maven,2,3,1,1,0,0
2014,12,16,mysql,0,2,0,0,0,0
2014,12,16,objective-c,10,3,3,3,1,0
2014,12,16,os-x,8,6,2,6,1,0
2014,12,16,php,0,0,0,0,0,0
2014,12,16,push-notification,2,2,1,2,0,0
2014,12,16,python,0,2,0,0,0,0
2014,12,16,r,2,0,1,2,0,0
2014,12,16,ruby,8,5,3,8,0,0
2014,12,16,ruby-on-rails,3,4,2,8,0,0
2014,12,16,scala,4,7,1,2,0,0
2014,12,16,storyboard,1,1,1,1,0,0
2014,12,16,unity3d,3,2,1,1,0,0
2014,12,16,vim,5,3,3,7,0,0
2014,12,16,virtualbox,1,0,1,3,0,0
2014,12,16,visual-studio,0,0,0,0,0,0
2014,12,16,windows,5,10,2,4,0,0
