"year","count","tag1","tag2","rank1","rank2"
2014,6,java,java8,16,1
2015,144,java,java8,27,1
2016,139,java,java8,14,1
2017,97,java,java8,25,1
2014,62,android,javascript,2,1
2014,52,css,javascript,1,2
2014,38,ios,javascript,4,3
2014,31,java,javascript,1,4
2014,28,c#,javascript,2,5
2014,28,git,javascript,1,6
2014,28,html5,javascript,1,7
2014,17,angularjs,javascript,1,8
2014,16,.net,javascript,2,9
2014,15,c,javascript,1,10
2014,14,html,javascript,1,11
2014,11,c++,javascript,7,12
2014,7,go,javascript,1,13
2014,6,centos,javascript,1,14
2014,3,aws,javascript,1,15
2015,661,android,javascript,3,1
2015,611,java,javascript,1,2
2015,528,html,javascript,1,3
2015,505,c#,javascript,3,4
2015,325,ios,javascript,19,5
2015,292,css,javascript,1,6
2015,286,c++,javascript,4,7
2015,250,c,javascript,3,8
2015,193,angularjs,javascript,1,9
2015,179,html5,javascript,1,10
2015,170,go,javascript,1,11
2015,138,centos,javascript,3,12
2015,133,git,javascript,1,13
2015,124,.net,javascript,5,14
2015,102,ajax,javascript,1,15
2015,81,aws,javascript,2,16
2016,333,html,javascript,1,1
2016,312,java,javascript,1,2
2016,249,c#,javascript,5,3
2016,241,ios,javascript,8,4
2016,178,android,javascript,5,5
2016,163,html5,javascript,1,6
2016,159,css,javascript,2,7
2016,115,git,javascript,1,8
2016,102,centos,javascript,3,9
2016,94,c,javascript,9,10
2016,84,.net,javascript,4,11
2016,77,c++,javascript,9,12
2016,73,go,javascript,2,13
2016,64,ajax,javascript,1,14
2016,57,angularjs,javascript,1,15
2016,51,aws,javascript,2,16
2017,371,html,javascript,1,1
2017,341,java,javascript,1,2
2017,282,c#,javascript,4,3
2017,243,css,javascript,1,4
2017,191,c,javascript,5,5
2017,172,html5,javascript,1,6
2017,170,ios,javascript,5,7
2017,166,c++,javascript,5,8
2017,153,android,javascript,3,9
2017,92,aws,javascript,1,10
2017,92,centos,javascript,5,11
2017,77,angularjs,javascript,1,12
2017,76,git,javascript,2,13
2017,70,go,javascript,1,14
2017,61,ajax,javascript,1,15
2017,39,.net,javascript,4,16
2014,89,javascript,jquery,2,1
2014,32,css,jquery,3,2
2014,19,ios,jquery,13,3
2014,19,android,jquery,25,4
2014,18,html5,jquery,2,5
2014,14,java,jquery,12,6
2014,8,c#,jquery,19,7
2014,8,c,jquery,13,8
2014,5,html,jquery,9,9
2014,5,centos,jquery,3,10
2014,4,go,jquery,6,11
2014,3,c++,jquery,23,12
2015,1166,javascript,jquery,1,1
2015,457,java,jquery,3,2
2015,414,html,jquery,2,3
2015,396,android,jquery,20,4
2015,383,c#,jquery,13,5
2015,252,css,jquery,3,6
2015,242,ios,jquery,24,7
2015,219,c++,jquery,12,8
2015,195,c,jquery,11,9
2015,160,go,jquery,4,10
2015,153,html5,jquery,2,11
2015,106,centos,jquery,12,12
2016,801,javascript,jquery,1,1
2016,239,html,jquery,2,2
2016,196,ios,jquery,16,3
2016,178,c#,jquery,20,4
2016,176,java,jquery,10,5
2016,138,css,jquery,3,6
2016,129,html5,jquery,2,7
2016,83,centos,jquery,9,8
2016,81,android,jquery,25,9
2016,53,go,jquery,7,10
2016,52,c,jquery,22,11
2016,32,c++,jquery,26,12
2017,858,javascript,jquery,1,1
2017,281,html,jquery,2,2
2017,236,c#,jquery,8,3
2017,225,java,jquery,4,4
2017,188,css,jquery,3,5
2017,140,html5,jquery,2,6
2017,133,c,jquery,16,7
2017,132,ios,jquery,12,8
2017,123,android,jquery,9,9
2017,95,c++,jquery,17,10
2017,58,centos,jquery,12,11
2017,32,go,jquery,10,12
2015,461,javascript,jquery-ui,14,1
2015,221,jquery,jquery-ui,6,2
2015,160,html,jquery-ui,19,3
2016,63,javascript,jquery-ui,32,1
2016,25,html,jquery-ui,29,2
2016,21,jquery,jquery-ui,19,3
2017,100,javascript,jquery-ui,30,1
2017,49,html,jquery-ui,27,2
2017,44,jquery,jquery-ui,18,3
2015,135,java,jsp,28,1
2016,75,java,jsp,27,1
2017,139,java,jsp,16,1
2015,163,java,kotlin,25,1
2016,16,java,kotlin,32,1
2017,108,java,kotlin,22,1
2015,230,c#,linq,24,1
2016,159,c#,linq,23,1
2017,196,c#,linq,21,1
2014,66,javascript,linux,5,1
2014,33,android,linux,14,2
2014,22,css,linux,9,3
2014,19,ios,linux,12,4
2014,19,c#,linux,8,5
2014,18,java,linux,5,6
2014,18,git,linux,7,7
2014,15,c,linux,2,8
2014,13,bash,linux,2,9
2014,12,c++,linux,5,10
2014,12,jquery,linux,4,11
2014,5,centos,linux,4,12
2014,4,go,linux,7,13
2014,4,html,linux,12,14
2015,649,javascript,linux,6,1
2015,430,java,linux,4,2
2015,385,android,linux,22,3
2015,295,c++,linux,2,4
2015,274,c,linux,2,5
2015,255,html,linux,8,6
2015,237,c#,linux,23,7
2015,227,jquery,linux,4,8
2015,213,centos,linux,1,9
2015,153,go,linux,5,10
2015,139,ios,linux,28,11
2015,137,bash,linux,1,12
2015,126,css,linux,10,13
2015,125,git,linux,3,14
2016,471,javascript,linux,4,1
2016,267,java,linux,3,2
2016,241,c#,linux,6,3
2016,190,ios,linux,17,4
2016,137,android,linux,9,5
2016,134,html,linux,11,6
2016,133,jquery,linux,5,7
2016,130,c,linux,2,8
2016,128,centos,linux,1,9
2016,112,git,linux,2,10
2016,104,c++,linux,3,11
2016,83,css,linux,11,12
2016,64,bash,linux,1,13
2016,24,go,linux,9,14
2017,500,javascript,linux,4,1
2017,241,c#,linux,7,2
2017,235,java,linux,3,3
2017,215,c,linux,2,4
2017,166,c++,linux,4,5
2017,161,html,linux,8,6
2017,161,jquery,linux,2,7
2017,118,ios,linux,18,8
2017,116,centos,linux,1,9
2017,103,css,linux,14,10
2017,95,android,linux,17,11
2017,83,bash,linux,1,12
2017,60,go,linux,5,13
2017,57,git,linux,5,14
2014,6,java,maven,17,1
2015,204,java,maven,21,1
2016,76,java,maven,26,1
2017,119,java,maven,20,1
2015,548,javascript,monaca,10,1
2015,415,android,monaca,19,2
2015,338,ios,monaca,17,3
2015,217,java,monaca,19,4
2015,185,html,monaca,17,5
2015,180,jquery,monaca,10,6
2015,139,cordova,monaca,1,7
2015,134,angularjs,monaca,2,8
2015,111,css,monaca,16,9
2015,100,html5,monaca,5,10
2015,94,linux,monaca,17,11
2016,432,javascript,monaca,8,1
2016,210,ios,monaca,11,2
2016,146,android,monaca,7,3
2016,133,html,monaca,12,4
2016,113,jquery,monaca,8,5
2016,108,java,monaca,20,6
2016,93,html5,monaca,3,7
2016,73,cordova,monaca,1,8
2016,73,css,monaca,15,9
2016,59,linux,monaca,17,10
2016,56,angularjs,monaca,2,11
2017,362,javascript,monaca,11,1
2017,126,html,monaca,15,2
2017,122,ios,monaca,16,3
2017,105,jquery,monaca,12,4
2017,103,android,monaca,14,5
2017,100,java,monaca,24,6
2017,82,linux,monaca,18,7
2017,80,html5,monaca,5,8
2017,79,css,monaca,19,9
2017,57,angularjs,monaca,2,10
2017,50,cordova,monaca,1,11
2014,54,javascript,mysql,10,1
2014,21,android,mysql,24,2
2014,21,css,mysql,11,3
2014,18,linux,mysql,4,4
2014,16,java,mysql,8,5
2014,14,git,mysql,9,6
2014,12,jquery,mysql,5,7
2014,12,c,mysql,5,8
2014,12,c#,mysql,17,9
2014,11,ios,mysql,15,10
2014,9,c++,mysql,13,11
2014,6,html,mysql,4,12
2014,3,centos,mysql,9,13
2014,2,go,mysql,9,14
2014,2,cakephp,mysql,2,15
2015,750,javascript,mysql,3,1
2015,513,android,mysql,12,2
2015,421,c#,mysql,8,3
2015,411,java,mysql,5,4
2015,287,jquery,mysql,2,5
2015,267,ios,mysql,22,6
2015,266,html,mysql,7,7
2015,185,c++,mysql,20,8
2015,178,linux,mysql,7,9
2015,168,cakephp,mysql,2,10
2015,165,c,mysql,19,11
2015,162,monaca,mysql,5,12
2015,128,go,mysql,10,13
2015,124,centos,mysql,5,14
2015,123,css,mysql,11,15
2015,92,aws,mysql,1,16
2015,89,git,mysql,11,17
2016,566,javascript,mysql,3,1
2016,288,java,mysql,2,2
2016,224,c#,mysql,10,3
2016,193,monaca,mysql,4,4
2016,190,ios,mysql,18,5
2016,178,html,mysql,5,6
2016,152,linux,mysql,7,7
2016,150,jquery,mysql,2,8
2016,130,android,mysql,11,9
2016,102,git,mysql,4,10
2016,101,css,mysql,7,11
2016,86,centos,mysql,6,12
2016,86,c,mysql,10,13
2016,76,go,mysql,1,14
2016,73,c++,mysql,11,15
2016,64,aws,mysql,1,16
2016,44,cakephp,mysql,2,17
2017,401,javascript,mysql,9,1
2017,230,c#,mysql,10,2
2017,217,linux,mysql,4,3
2017,178,java,mysql,8,4
2017,143,html,mysql,14,5
2017,132,jquery,mysql,4,6
2017,124,ios,mysql,15,7
2017,116,c++,mysql,14,8
2017,114,c,mysql,20,9
2017,101,centos,mysql,3,10
2017,89,css,mysql,17,11
2017,85,android,mysql,21,12
2017,80,aws,mysql,2,13
2017,68,go,mysql,2,14
2017,51,monaca,mysql,6,15
2017,47,git,mysql,10,16
2017,27,cakephp,mysql,2,17
2014,41,javascript,node.js,15,1
2014,13,java,node.js,15,2
2014,9,c#,node.js,18,3
2014,8,linux,node.js,11,4
2014,6,css,node.js,19,5
2014,4,jquery,node.js,13,6
2014,3,mysql,node.js,8,7
2014,2,html,node.js,18,8
2014,2,c,node.js,27,9
2015,701,javascript,node.js,4,1
2015,262,java,node.js,11,2
2015,242,c#,node.js,22,3
2015,221,html,node.js,13,4
2015,203,jquery,node.js,8,5
2015,149,linux,node.js,9,6
2015,134,c,node.js,25,7
2015,124,mysql,node.js,7,8
2015,122,css,node.js,12,9
2015,97,monaca,node.js,13,10
2016,298,javascript,node.js,12,1
2016,108,monaca,node.js,11,2
2016,91,html,node.js,16,3
2016,82,linux,node.js,13,4
2016,71,jquery,node.js,14,5
2016,68,java,node.js,29,6
2016,58,css,node.js,17,7
2016,50,c#,node.js,32,8
2016,43,mysql,node.js,11,9
2016,18,c,node.js,30,10
2017,443,javascript,node.js,6,1
2017,225,c#,node.js,11,2
2017,149,html,node.js,10,3
2017,141,linux,node.js,11,4
2017,139,java,node.js,18,5
2017,128,jquery,node.js,6,6
2017,111,css,node.js,9,7
2017,93,c,node.js,25,8
2017,73,mysql,node.js,10,9
2017,37,monaca,node.js,9,10
2014,29,javascript,npm,18,1
2015,195,javascript,npm,29,1
2016,186,javascript,npm,24,1
2017,124,javascript,npm,27,1
2015,83,monaca,oauth,15,1
2016,120,monaca,oauth,8,1
2017,21,monaca,oauth,14,1
2014,68,ios,objective-c,1,1
2014,66,javascript,objective-c,6,2
2014,33,android,objective-c,15,3
2014,21,java,objective-c,4,4
2014,10,c++,objective-c,10,5
2014,10,jquery,objective-c,9,6
2014,8,iphone,objective-c,1,7
2014,5,html,objective-c,7,8
2015,944,ios,objective-c,3,1
2015,417,android,objective-c,18,2
2015,393,javascript,objective-c,16,3
2015,223,java,objective-c,17,4
2015,173,iphone,objective-c,1,5
2015,169,c++,objective-c,22,6
2015,144,html,objective-c,21,7
2015,123,jquery,objective-c,17,8
2015,111,monaca,objective-c,9,9
2016,428,ios,objective-c,3,1
2016,245,javascript,objective-c,17,2
2016,153,java,objective-c,12,3
2016,131,android,objective-c,10,4
2016,126,monaca,objective-c,7,5
2016,81,html,objective-c,21,6
2016,69,jquery,objective-c,16,7
2016,63,iphone,objective-c,3,8
2016,25,c++,objective-c,29,9
2017,218,ios,objective-c,4,1
2017,125,javascript,objective-c,26,2
2017,72,android,objective-c,26,3
2017,71,java,objective-c,31,4
2017,42,html,objective-c,29,5
2017,32,monaca,objective-c,11,6
2017,25,jquery,objective-c,19,7
2017,21,iphone,objective-c,3,8
2017,20,c++,objective-c,29,9
2015,480,monaca,onsen-ui,1,1
2015,313,javascript,onsen-ui,22,2
2015,116,angularjs,onsen-ui,3,3
2016,304,monaca,onsen-ui,1,1
2016,273,javascript,onsen-ui,13,2
2016,54,angularjs,onsen-ui,3,3
2017,121,javascript,onsen-ui,28,1
2017,106,monaca,onsen-ui,1,2
2017,53,angularjs,onsen-ui,3,3
2014,63,javascript,os-x,7,1
2014,42,ios,os-x,2,2
2014,36,objective-c,os-x,2,3
2014,30,android,os-x,17,4
2014,25,bash,os-x,1,5
2014,22,css,os-x,8,6
2014,20,git,os-x,5,7
2014,17,c#,os-x,13,8
2014,17,java,os-x,7,9
2014,12,linux,os-x,7,10
2014,12,jquery,os-x,6,11
2014,11,c,os-x,8,12
2014,4,mysql,os-x,7,13
2014,4,html,os-x,10,14
2014,4,centos,os-x,6,15
2014,4,c++,os-x,19,16
2015,593,android,os-x,6,1
2015,534,ios,os-x,6,2
2015,490,javascript,os-x,12,3
2015,385,objective-c,os-x,4,4
2015,346,java,os-x,6,5
2015,206,html,os-x,15,6
2015,201,c#,os-x,26,7
2015,191,c++,os-x,17,8
2015,190,monaca,os-x,3,9
2015,181,linux,os-x,6,10
2015,179,mysql,os-x,4,11
2015,171,jquery,os-x,12,12
2015,161,c,os-x,20,13
2015,124,bash,os-x,2,14
2015,121,git,os-x,4,15
2015,118,css,os-x,14,16
2015,113,centos,os-x,10,17
2016,404,javascript,os-x,10,1
2016,255,ios,os-x,7,2
2016,227,java,os-x,6,3
2016,215,c#,os-x,12,4
2016,184,linux,os-x,4,5
2016,131,html,os-x,13,6
2016,118,jquery,os-x,7,7
2016,111,monaca,os-x,10,8
2016,109,mysql,os-x,5,9
2016,107,android,os-x,17,10
2016,98,git,os-x,7,11
2016,97,c,os-x,6,12
2016,84,objective-c,os-x,3,13
2016,79,css,os-x,13,14
2016,74,c++,os-x,10,15
2016,71,centos,os-x,13,16
2016,58,bash,os-x,2,17
2017,358,javascript,os-x,12,1
2017,174,linux,os-x,9,2
2017,166,c,os-x,10,3
2017,160,c++,os-x,6,4
2017,148,java,os-x,14,5
2017,145,html,os-x,13,6
2017,134,ios,os-x,11,7
2017,115,jquery,os-x,9,8
2017,114,c#,os-x,30,9
2017,108,css,os-x,11,10
2017,91,mysql,os-x,6,11
2017,86,android,os-x,20,12
2017,66,centos,os-x,10,13
2017,52,bash,os-x,2,14
2017,50,git,os-x,8,15
2017,34,monaca,os-x,10,16
2017,20,objective-c,os-x,3,17
2014,8,javascript,pdf,22,1
2015,215,javascript,pdf,27,1
2016,161,javascript,pdf,28,1
2017,117,javascript,pdf,29,1
2014,30,javascript,perl,17,1
2014,11,linux,perl,10,2
2015,193,javascript,perl,30,1
2015,71,linux,perl,21,2
2016,171,javascript,perl,26,1
2016,47,linux,perl,20,2
2017,257,javascript,perl,16,1
2017,113,linux,perl,14,2
2014,75,javascript,php,4,1
2014,39,android,php,8,2
2014,31,os-x,php,3,3
2014,29,ios,php,6,4
2014,22,c#,php,4,5
2014,22,java,php,2,6
2014,22,css,php,10,7
2014,21,linux,php,2,8
2014,21,objective-c,php,5,9
2014,20,git,php,4,10
2014,18,cakephp,php,1,11
2014,15,jquery,php,2,12
2014,14,mysql,php,1,13
2014,12,c,php,6,14
2014,10,c++,php,11,15
2014,9,html5,php,3,16
2014,8,html,php,2,17
2014,4,centos,php,7,18
2014,4,go,php,5,19
2015,934,javascript,php,2,1
2015,620,android,php,5,2
2015,460,java,php,2,3
2015,459,ios,php,9,4
2015,440,c#,php,7,5
2015,387,html,php,3,6
2015,360,jquery,php,1,7
2015,350,mysql,php,1,8
2015,347,objective-c,php,6,9
2015,263,c++,php,7,10
2015,263,linux,php,1,11
2015,222,cakephp,php,1,12
2015,222,c,php,8,13
2015,209,monaca,php,2,14
2015,204,css,php,5,15
2015,192,os-x,php,1,16
2015,171,centos,php,2,17
2015,147,go,php,7,18
2015,138,apache,php,1,19
2015,110,html5,php,4,20
2015,110,git,php,7,21
2016,637,javascript,php,2,1
2016,259,java,php,4,2
2016,239,c#,php,7,3
2016,221,html,php,3,4
2016,216,ios,php,10,5
2016,213,mysql,php,1,6
2016,209,monaca,php,2,7
2016,196,android,php,4,8
2016,190,linux,php,1,9
2016,171,jquery,php,1,10
2016,121,css,php,4,11
2016,110,centos,php,2,12
2016,96,c,php,7,13
2016,89,html5,php,4,14
2016,86,c++,php,7,15
2016,81,os-x,php,3,16
2016,71,apache,php,1,17
2016,63,git,php,12,18
2016,61,objective-c,php,6,19
2016,59,cakephp,php,1,20
2016,27,go,php,8,21
2017,597,javascript,php,2,1
2017,233,jquery,php,1,2
2017,218,linux,php,3,3
2017,209,html,php,4,4
2017,200,java,php,6,5
2017,173,c,php,8,6
2017,169,c#,php,22,7
2017,155,mysql,php,1,8
2017,150,c++,php,7,9
2017,134,ios,php,10,10
2017,132,css,php,5,11
2017,110,centos,php,2,12
2017,97,android,php,15,13
2017,93,html5,php,3,14
2017,72,os-x,php,5,15
2017,64,apache,php,1,16
2017,59,go,php,6,17
2017,53,monaca,php,5,18
2017,45,cakephp,php,1,19
2017,43,git,php,11,20
2017,15,objective-c,php,5,21
2014,8,php,phpmyadmin,12,1
2015,299,php,phpmyadmin,7,1
2016,135,php,phpmyadmin,16,1
2017,46,php,phpmyadmin,22,1
2014,7,linux,postfix,12,1
2014,4,php,postfix,19,2
2015,104,php,postfix,27,1
2015,99,linux,postfix,16,2
2016,195,php,postfix,6,1
2016,73,linux,postfix,14,2
2017,91,php,postfix,14,1
2017,74,linux,postfix,20,2
2014,3,javascript,postgresql,23,1
2014,3,php,postgresql,20,2
2014,1,jquery,postgresql,15,3
2015,324,javascript,postgresql,21,1
2015,268,php,postgresql,11,2
2015,182,java,postgresql,23,3
2015,136,html,postgresql,24,4
2015,109,mysql,postgresql,9,5
2015,106,linux,postgresql,15,6
2015,94,jquery,postgresql,19,7
2016,259,javascript,postgresql,15,1
2016,176,php,postgresql,10,2
2016,119,java,postgresql,18,3
2016,105,linux,postgresql,11,4
2016,94,mysql,postgresql,8,5
2016,89,html,postgresql,18,6
2016,87,jquery,postgresql,11,7
2017,212,javascript,postgresql,19,1
2017,139,linux,postgresql,13,2
2017,120,java,postgresql,19,3
2017,90,php,postgresql,15,4
2017,81,html,postgresql,22,5
2017,80,mysql,postgresql,8,6
2017,66,jquery,postgresql,15,7
2015,122,c#,powershell,31,1
2015,107,javascript,powershell,32,2
2016,204,javascript,powershell,22,1
2016,189,c#,powershell,19,2
2017,232,c#,powershell,9,1
2017,194,javascript,powershell,21,2
2015,110,monaca,push-notification,10,1
2016,183,monaca,push-notification,5,1
2017,10,monaca,push-notification,15,1
2014,50,javascript,python,13,1
2014,29,android,python,18,2
2014,17,c#,python,11,3
2014,17,os-x,python,7,4
2014,16,java,python,10,5
2014,15,css,python,17,6
2014,15,linux,python,5,7
2014,14,git,python,8,8
2014,14,c,python,3,9
2014,13,php,python,5,10
2014,10,c++,python,8,11
2014,10,ios,python,17,12
2014,6,mysql,python,6,13
2014,5,jquery,python,12,14
2014,4,go,python,4,15
2014,3,html,python,16,16
2014,2,centos,python,10,17
2015,568,javascript,python,9,1
2015,419,php,python,3,2
2015,364,android,python,23,3
2015,315,java,python,9,4
2015,258,c#,python,20,5
2015,235,html,python,11,6
2015,227,c,python,7,7
2015,227,c++,python,10,8
