"year","count","tag1","tag2","rank1","rank2"
2010,7,.net,android,4,1
2011,114,.net,android,23,1
2011,49,ajax,android,27,2
2012,376,ajax,android,16,1
2012,284,.net,android,18,2
2013,413,ajax,android,13,1
2013,249,.net,android,9,2
2014,407,ajax,android,13,1
2014,146,.net,android,21,2
2015,1070,.net,android,19,1
2015,835,ajax,android,9,2
2016,2112,.net,android,22,1
2016,1417,ajax,android,11,2
2017,2040,.net,android,16,1
2017,1588,ajax,android,14,2
2013,543,android,android-fragment,28,1
2014,2685,android,android-fragment,3,1
2015,6027,android,android-fragment,7,1
2016,13814,android,android-fragment,5,1
2017,11784,android,android-fragment,4,1
2011,326,android,android-layout,15,1
2012,718,android,android-layout,22,1
2013,1753,android,android-layout,12,1
2014,1976,android,android-layout,12,1
2015,6146,android,android-layout,6,1
2016,14015,android,android-layout,4,1
2017,9803,android,android-layout,9,1
2011,320,android,android-sdk,16,1
2012,1376,android,android-sdk,9,1
2013,1924,android,android-sdk,8,1
2014,2572,android,android-sdk,5,1
2015,6907,android,android-sdk,3,1
2016,13398,android,android-sdk,7,1
2017,10790,android,android-sdk,6,1
2013,1168,android,android-studio,20,1
2014,2076,android,android-studio,9,1
2015,7169,android,android-studio,2,1
2016,16833,android,android-studio,2,1
2017,15513,android,android-studio,2,1
2013,18,ajax,angularjs,32,1
2014,251,ajax,angularjs,31,1
2015,626,ajax,angularjs,19,1
2016,1121,ajax,angularjs,16,1
2017,1020,ajax,angularjs,30,1
2011,169,ajax,apache,12,1
2012,370,ajax,apache,17,1
2013,442,ajax,apache,8,1
2014,479,ajax,apache,9,1
2015,649,ajax,apache,17,1
2016,1183,ajax,apache,15,1
2017,1198,ajax,apache,22,1
2010,6,.net,asp.net,16,1
2011,169,.net,asp.net,16,1
2012,422,.net,asp.net,4,1
2013,240,.net,asp.net,11,1
2014,163,.net,asp.net,14,1
2015,1200,.net,asp.net,13,1
2016,1983,.net,asp.net,25,1
2017,2360,.net,asp.net,8,1
2011,104,.net,asp.net-mvc,24,1
2012,206,.net,asp.net-mvc,24,1
2013,210,.net,asp.net-mvc,19,1
2014,174,.net,asp.net-mvc,11,1
2015,1148,.net,asp.net-mvc,16,1
2016,2503,.net,asp.net-mvc,9,1
2017,2305,.net,asp.net-mvc,9,1
2012,152,ajax,bootstrap,30,1
2013,376,ajax,bootstrap,16,1
2014,426,ajax,bootstrap,11,1
2015,741,ajax,bootstrap,12,1
2016,1427,ajax,bootstrap,10,1
2017,1878,ajax,bootstrap,8,1
2010,47,android,c,11,1
2010,7,.net,c,14,2
2011,353,android,c,11,1
2011,242,.net,c,10,2
2011,139,ajax,c,14,3
2012,1235,android,c,13,1
2012,318,.net,c,15,2
2012,305,ajax,c,20,3
2013,1720,android,c,13,1
2013,328,ajax,c,19,2
2013,247,.net,c,10,3
2014,1189,android,c,18,1
2014,292,ajax,c,28,2
2014,183,.net,c,7,3
2015,2801,android,c,28,1
2015,926,.net,c,22,2
2015,545,ajax,c,23,3
2016,4785,android,c,31,1
2016,2119,.net,c,21,2
2016,747,ajax,c,31,3
2017,4344,android,c,30,1
2017,1884,.net,c,19,2
2017,1033,ajax,c,29,3
2010,107,c,c#,3,1
2010,48,android,c#,8,2
2010,10,.net,c#,1,3
2010,1,asp.net,c#,1,4
2011,961,c,c#,4,1
2011,379,.net,c#,1,2
2011,345,android,c#,13,3
2011,133,asp.net,c#,1,4
2011,128,ajax,c#,16,5
2011,51,asp.net-mvc,c#,1,6
2012,1339,android,c#,10,1
2012,1014,c,c#,6,2
2012,592,.net,c#,1,3
2012,435,ajax,c#,12,4
2012,350,asp.net,c#,1,5
2012,111,asp.net-mvc,c#,1,6
2013,2149,android,c#,4,1
2013,1038,c,c#,5,2
2013,427,.net,c#,1,3
2013,421,ajax,c#,11,4
2013,259,asp.net,c#,1,5
2013,163,asp.net-mvc,c#,1,6
2014,1854,android,c#,13,1
2014,874,c,c#,4,2
2014,375,.net,c#,1,3
2014,335,ajax,c#,21,4
2014,159,asp.net-mvc,c#,1,5
2014,126,asp.net,c#,1,6
2015,5222,android,c#,11,1
2015,2004,.net,c#,1,2
2015,1428,c,c#,7,3
2015,833,ajax,c#,10,4
2015,679,asp.net,c#,1,5
2015,660,asp.net-mvc,c#,1,6
2016,10667,android,c#,14,1
2016,3937,.net,c#,1,2
2016,3027,c,c#,3,3
2016,1406,asp.net-mvc,c#,1,4
2016,1326,ajax,c#,13,5
2016,917,asp.net,c#,1,6
2017,9775,android,c#,11,1
2017,3585,.net,c#,1,2
2017,3346,c,c#,4,3
2017,1692,ajax,c#,13,4
2017,1546,asp.net-mvc,c#,1,5
2017,1450,asp.net,c#,1,6
2010,121,c,c++,1,1
2010,70,c#,c++,1,2
2010,49,android,c++,3,3
2010,7,.net,c++,15,4
2011,1401,c#,c++,1,1
2011,1256,c,c++,1,2
2011,428,android,c++,3,3
2011,304,.net,c++,2,4
2011,192,ajax,c++,8,5
2012,2815,c#,c++,1,1
2012,1659,android,c++,3,2
2012,1390,c,c++,1,3
2012,506,.net,c++,2,4
2012,485,ajax,c++,9,5
2013,2233,c#,c++,2,1
2013,1867,android,c++,10,2
2013,1401,c,c++,1,3
2013,420,ajax,c++,12,4
2013,293,.net,c++,2,5
2014,2032,android,c++,11,1
2014,1897,c#,c++,2,2
2014,1123,c,c++,1,3
2014,408,ajax,c++,12,4
2014,195,.net,c++,3,5
2015,6844,c#,c++,7,1
2015,5137,android,c++,13,2
2015,1957,c,c++,1,3
2015,1318,.net,c++,7,4
2015,712,ajax,c++,14,5
2016,14291,c#,c++,5,1
2016,7053,android,c++,27,2
2016,3811,c,c++,1,3
2016,2541,.net,c++,8,4
2016,1009,ajax,c++,20,5
2017,17507,c#,c++,6,1
2017,6905,android,c++,18,2
2017,4232,c,c++,1,3
2017,2390,.net,c++,7,4
2017,1318,ajax,c++,19,5
2011,373,c++,c++-cli,26,1
2011,167,c#,c++-cli,27,2
2012,1994,c++,c++-cli,24,1
2012,987,c#,c++-cli,25,2
2013,1016,c++,c++-cli,28,1
2013,639,c#,c++-cli,29,2
2014,750,c#,c++-cli,29,1
2014,601,c++,c++-cli,29,2
2015,3650,c#,c++-cli,29,1
2015,2715,c++,c++-cli,25,2
2016,6635,c#,c++-cli,32,1
2016,5781,c++,c++-cli,22,2
2017,8732,c#,c++-cli,27,1
2017,4740,c++,c++-cli,24,2
2012,526,c++,c++11,29,1
2012,123,c,c++11,32,2
2013,2387,c++,c++11,15,1
2013,764,c,c++11,20,2
2014,1491,c++,c++11,17,1
2014,525,c,c++11,23,2
2015,3948,c++,c++11,14,1
2015,941,c,c++11,21,2
2016,9503,c++,c++11,5,1
2016,2450,c,c++11,13,2
2017,8263,c++,c++11,10,1
2017,2419,c,c++11,15,2
2011,1669,c++,c++builder,13,1
2011,677,c,c++builder,20,2
2012,2844,c++,c++builder,12,1
2012,822,c,c++builder,14,2
2013,2036,c++,c++builder,20,1
2013,731,c,c++builder,22,2
2014,1374,c++,c++builder,20,1
2014,536,c,c++builder,22,2
2015,3693,c++,c++builder,17,1
2015,957,c,c++builder,20,2
2016,5295,c++,c++builder,24,1
2016,1307,c,c++builder,28,2
2017,4668,c++,c++builder,25,1
2017,1519,c,c++builder,26,2
2011,354,android,canvas,10,1
2012,956,android,canvas,19,1
2013,1231,android,canvas,19,1
2014,590,android,canvas,29,1
2015,2220,android,canvas,30,1
2016,7313,android,canvas,24,1
2017,3266,android,canvas,32,1
2011,87,ajax,cookie,22,1
2012,465,ajax,cookie,10,1
2013,381,ajax,cookie,15,1
2014,396,ajax,cookie,14,1
2015,542,ajax,cookie,24,1
2016,934,ajax,cookie,25,1
2017,1141,ajax,cookie,25,1
2010,105,c++,css,13,1
2010,62,c,css,16,2
2010,33,c#,css,13,3
2010,17,android,css,15,4
